W W W W W W W W W W W W W W W W T W W W W W W W W W W W W W W W T W W W W W W W W W W W W W W W W W
W B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B W
W B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B F F F D F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B B B B B B B B B B B B B B B B F F F F F F F F F F F F F F F F F F F F F F F F F D F F F B B T
W B B B B B B B B B B B B B B B B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W W W W W W W W T W W W W W W W B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W W W W W W W W W W W W W W W W B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B B B B B B B B B B B B W W B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B F B B B B B B B B B B W W B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F B B W T B B F F F F F F F F F F F F F F F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F B B W W B B F F F F F F F F B B B B B B F F F F F F F F F F F F F F F B B W
W B B F F F D F F F F F B B W W B B F F F F F F F F B B B B B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F B B W W B B F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F B B B B B B F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F B B B B B B F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F B B W T B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F B B T W B B F F F F F F F F F F F F F F F B B T
W B B F F F F F F F F F F F F F F F F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
T B B F F F F F F F F F F F F F F F F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F D F B B W W B B F F F D F F F F F F F F F F F B B W
W B B F F F F F F F F F F F F F F F F F F F F F F F B B W W B B F F F F F F F F F F F F F F F B B W
W B B F F F F F F F F B B B B B B B B B B B B B B B B B W W B B B B B B B B B B B B B B B B B B B W
W B B F F F F F F F F B B B B B B B B B B B B B B B B B W W B B B B B B B B B B B B B B B B B B B W
W W W F F F F F F F F B B W W W W W W W W W W W W W W W W W W W W W W W W W W W W T W W W W W W W W
W W W F F F F F F F F B B W W W T W W W W W W W W W W W W W W W T W W W W W W W W W W W W W W W W W
W B B F F F F F F F F B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B W
W B B F F F F F F F F B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B W
